"Time","Contracts","Funding Interval","Funding Rate"
"2024-08-26 12:00:00","SOLUSDT Perpetual","8h","0.002054%"
"2024-08-26 04:00:00","SOLUSDT Perpetual","8h","0.010000%"
"2024-08-25 20:00:00","SOLUSDT Perpetual","8h","0.001048%"
"2024-08-25 12:00:00","SOLUSDT Perpetual","8h","-0.001338%"
"2024-08-25 04:00:00","SOLUSDT Perpetual","8h","0.010000%"
"2024-08-24 20:00:00","SOLUSDT Perpetual","8h","0.009763%"
"2024-08-24 12:00:00","SOLUSDT Perpetual","8h","0.006232%"
"2024-08-24 04:00:00","SOLUSDT Perpetual","8h","0.002046%"
"2024-08-23 20:00:00","SOLUSDT Perpetual","8h","0.007101%"
"2024-08-23 12:00:00","SOLUSDT Perpetual","8h","-0.004648%"
"2024-08-23 04:00:00","SOLUSDT Perpetual","8h","0.004050%"
"2024-08-22 20:00:00","SOLUSDT Perpetual","8h","0.004556%"
"2024-08-22 12:00:00","SOLUSDT Perpetual","8h","0.002936%"
"2024-08-22 04:00:00","SOLUSDT Perpetual","8h","0.006844%"
"2024-08-21 20:00:00","SOLUSDT Perpetual","8h","0.000611%"
"2024-08-21 12:00:00","SOLUSDT Perpetual","8h","-0.001553%"
"2024-08-21 04:00:00","SOLUSDT Perpetual","8h","0.000862%"
"2024-08-20 20:00:00","SOLUSDT Perpetual","8h","0.002703%"
"2024-08-20 12:00:00","SOLUSDT Perpetual","8h","-0.003807%"
"2024-08-20 04:00:00","SOLUSDT Perpetual","8h","-0.002960%"
"2024-08-19 20:00:00","SOLUSDT Perpetual","8h","0.003838%"
"2024-08-19 12:00:00","SOLUSDT Perpetual","8h","0.005854%"
"2024-08-19 04:00:00","SOLUSDT Perpetual","8h","-0.000928%"
"2024-08-18 20:00:00","SOLUSDT Perpetual","8h","0.001862%"
"2024-08-18 12:00:00","SOLUSDT Perpetual","8h","-0.010289%"
"2024-08-18 04:00:00","SOLUSDT Perpetual","8h","-0.002019%"
"2024-08-17 20:00:00","SOLUSDT Perpetual","8h","0.000454%"
"2024-08-17 12:00:00","SOLUSDT Perpetual","8h","-0.000703%"
"2024-08-17 04:00:00","SOLUSDT Perpetual","8h","-0.001280%"
