"Time","Contracts","Funding Interval","Funding Rate"
"08/26/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0023%"
"08/26/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0034%"
"08/25/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0177%"
"08/25/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0018%"
"08/25/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0161%"
"08/24/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0047%"
"08/24/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0060%"
"08/24/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0060%"
"08/23/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0036%"
"08/23/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0164%"
"08/23/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0043%"
"08/22/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0040%"
"08/22/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0185%"
"08/22/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0203%"
"08/21/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0176%"
"08/21/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0180%"
"08/21/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0014%"
"08/20/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0086%"
"08/20/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0016%"
"08/20/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0120%"
"08/19/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0090%"
"08/19/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0044%"
"08/19/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0069%"
"08/18/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0195%"
"08/18/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0019%"
"08/18/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0145%"
"08/17/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0093%"
"08/17/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0190%"
"08/17/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0033%"
"08/16/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0003%"
"08/16/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0046%"
"08/16/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0010%"
"08/15/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0104%"
"08/15/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0119%"
"08/15/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0053%"
"08/14/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0004%"
"08/14/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0082%"
"08/14/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0117%"
"08/13/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0016%"
"08/13/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0099%"
"08/13/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0003%"
"08/12/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0012%"
"08/12/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0108%"
"08/12/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0062%"
"08/11/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0054%"
"08/11/2024 08:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0184%"
"08/11/2024 00:00:00","SOL Perpetual/USDT","Every 8 Hours","-0.0105%"
"08/10/2024 16:00:00","SOL Perpetual/USDT","Every 8 Hours","0.0017%"
